job_id,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num,url
566,56,28000,35000,0,0,8.0,3,2,84848920
567,60,40000,\N,2,0,4.0,3,3,84827674
568,60,23800,30000,0,0,9.0,1,1,84814957
569,12,37000,40000,2,0,9.0,1,1,84807577
570,60,35000,43000,3,0,8.0,3,1,84807052
571,60,30000,33000,0,0,8.0,3,1,80251642
572,0,30000,37000,0,0,9.0,1,0,80190452
573,60,26000,30000,0,0,8.0,3,1,80184279
574,0,42000,42000,0,0,8.0,3,1,80114423
575,60,26000,26000,2,0,8.0,1,1,80104132
576,56,35000,45000,5,0,9.5,1,1,80097417
577,0,28000,35000,0,0,8.0,1,1,79932406
578,60,158,158,0,1,8.0,0,3,79920298
579,0,29000,31000,0,0,8.0,3,1,79917657
580,56,30000,35000,1,0,8.0,3,1,79895493
581,60,23800,40000,1,0,8.0,1,1,79804549
582,56,26000,30000,0,0,9.0,1,1,79781150
583,0,28000,33000,0,0,8.0,1,2,79778432
584,60,24000,40000,0,0,8.0,1,0,79562490
585,60,23800,25000,1,0,8.0,3,1,79559815
586,28,35000,38000,1,0,9.0,1,0,78434106
587,0,40000,\N,0,0,12.0,1,3,77767077
588,0,40000,\N,0,0,12.0,1,3,77763051
589,56,29000,49000,2,0,8.0,3,1,77201751
590,60,38000,40000,0,0,8.0,1,2,77195798
591,0,23800,25000,0,0,8.0,3,0,77177236
592,0,32000,45000,0,0,9.0,1,2,77155104
593,60,30000,100000,0,0,8.0,1,0,77044126
594,60,30000,100000,0,0,8.0,1,0,77044125
595,60,36000,40000,0,0,9.0,1,1,76555746
596,60,40000,\N,0,0,8.0,1,1,76504366
597,60,24000,28000,1,0,5.0,1,1,76414125
598,60,29000,42000,0,0,9.0,3,1,76331708
599,12,40000,\N,0,0,-3.0,1,1,75833160
600,60,24000,30000,0,0,-3.0,1,1,75666056
601,0,25000,30000,0,0,12.0,1,3,58841057
602,0,23800,25000,0,0,8.0,1,0,58846952
603,0,23800,25000,0,0,8.0,3,0,58846951
604,0,25000,30000,0,0,12.0,1,3,55163757
605,0,25000,30000,0,0,12.0,1,3,55163753
606,0,25000,30000,0,0,12.0,1,3,55163726
607,0,25000,30000,0,0,12.0,1,3,55163712
608,0,25000,30000,2,0,12.0,1,3,55163711
609,0,25000,30000,0,0,12.0,1,3,55163710
610,0,25000,30000,0,0,12.0,1,3,55163704
611,0,25000,30000,2,0,12.0,1,3,55163699
612,0,25000,30000,0,0,12.0,1,3,55163695
613,0,25000,30000,2,0,12.0,1,3,55163692
614,0,25000,30000,0,0,12.0,1,3,55163690
615,0,25000,30000,2,0,12.0,1,3,55163688
616,0,25000,30000,0,0,12.0,1,3,55163687
617,0,25000,30000,0,0,12.0,1,3,55163681
618,0,25000,30000,0,0,12.0,1,3,55163659
619,0,28500,35000,0,0,8.0,3,1,55025930
620,60,28000,35000,2,0,9.0,2,2,54488320
621,56,40000,\N,0,0,8.0,1,5,53743661
622,56,41600,41600,2,0,8.0,1,4,53743202
623,60,38000,38000,0,0,8.0,1,4,53368406
624,60,30000,30000,1,0,8.0,1,1,53311376
625,12,28000,30000,0,0,4.0,1,1,91544385
626,12,30000,30000,3,0,8.0,1,1,91544064
627,12,30000,35000,1,0,9.0,1,1,91538369
628,12,42000,42000,0,0,8.0,1,1,91538131
629,60,40000,46000,2,0,12.0,1,1,91531939
630,60,35000,42000,1,0,8.0,1,1,91527014
631,60,24000,28000,0,0,8.0,1,3,91520716
632,60,24000,28000,0,0,8.0,1,3,91520712
633,60,32000,38000,7,0,9.0,1,1,91520644
634,12,35000,50000,1,0,8.0,1,1,91515393
635,56,30000,40000,1,0,8.0,2,1,91487359
636,56,30000,40000,1,0,8.0,2,1,91485303
637,60,32000,35000,2,0,8.0,1,1,91468162
638,12,45000,45000,10,0,8.0,1,1,91306863
639,0,28000,35000,0,0,8.0,3,1,91303089
640,12,30000,33000,0,0,8.0,3,1,91300453
641,0,34000,36000,0,0,8.0,1,2,91287369
642,60,37000,40000,0,0,8.0,3,2,91286685
643,60,28000,33000,0,0,8.0,3,0,91270956
644,12,32000,34000,3,0,9.5,1,1,91227570
645,60,30000,200000,2,0,-3.0,1,1,91227531
646,60,34000,34000,0,0,8.0,1,0,91208714
647,0,33900,60000,2,0,8.0,3,1,91183344
648,0,26000,26000,0,0,8.0,0,1,91175293
649,60,35000,40000,0,0,8.0,3,2,91163846
650,0,24000,45000,0,0,8.0,1,1,91136937
651,0,35000,38000,0,0,8.0,1,2,86024654
652,60,34000,34000,0,0,8.0,1,0,86011712
653,0,35000,45000,3,0,8.0,3,1,86009427
654,0,28000,35000,1,0,8.0,3,1,85976070
655,60,38000,40000,0,0,8.0,3,0,85971627
656,60,32000,32000,5,0,8.0,1,1,85967504
657,0,32000,45000,0,0,8.0,1,1,85933921
658,60,30000,200000,2,0,-2.5,0,1,85923321
659,60,30000,200000,2,0,-3.0,1,1,85923317
660,60,30000,200000,2,0,-3.0,1,1,85920015
661,0,40000,90000,0,0,9.0,1,2,85887790
662,0,25300,30000,0,0,8.0,3,1,85237275
663,0,32000,35000,0,0,9.0,1,1,85175053
664,56,30000,36000,0,0,8.0,1,1,85156013
665,60,31000,40000,0,0,8.0,3,0,85114918
666,60,31000,33000,0,0,8.0,3,0,85105035
667,60,29000,31000,0,0,8.0,3,0,85105032
668,60,27500,29000,0,0,8.0,3,0,85105030
669,60,33000,40000,0,0,8.0,3,0,85105022
670,60,35000,42000,0,0,8.0,3,0,85105019
671,60,33000,40000,0,0,8.0,3,0,85105017
672,60,31000,40000,0,0,8.0,3,0,85105015
673,60,27500,29000,0,0,8.0,3,0,85104999
674,60,31000,40000,0,0,8.0,3,0,85097984
675,60,45000,60000,2,0,8.0,0,0,85065175
676,60,30000,35000,2,0,-15.750000000000002,0,1,84871417
677,0,35000,50000,2,0,8.0,3,1,84851610
678,0,27000,48000,0,0,8.0,3,1,84848175
679,4,30000,35000,2,0,8.0,3,1,80171042
680,12,30000,40000,2,0,8.0,0,1,80148268
681,28,36000,60000,0,0,8.0,1,1,80137365
682,60,31000,35000,0,0,8.0,3,0,80099505
